380. KUU  [真・三段]    [東京都] Score: 38453524
381. AKKI1027  [ノリノリンカちゃん]    [大阪府] Score: 38401213
382. HAYATE  [東方六楽抄]    [三重県] Score: 38253817
383. Na-Nya<<  [七福神]    [岐阜県] Score: 38226815
384. Lettuce  [Starlight Road King]    [山形県] Score: 38213204
385. Chaz  [「サブタレイニアンローズ」]    [アメリカ] Score: 38048483
386. Mikurino  [変なTシャツ女王]    [アメリカ] Score: 38040151
387. kz  [MikuLukaGod]    [茨城県] Score: 37910323
388. TENTAI2  [天体観測神]    [青森県] Score: 37903898
389. Jun  [GOD]    [岩手県] Score: 37836907
390. Potable  [金属バット神]    [北海道] Score: 37835668
391. TATHI  [I love "Ψ発見伝！"]    [宮城県] Score: 37790200
392. KANOOPY*  [でんでん神]    [東京都] Score: 37774100
393. KaV to  [I love チルノ]    [新潟県] Score: 37606240
394. St.Rhea  [I LOVE ZUNTATA]    [愛知県] Score: 37601928
395. HONOME  [血界神]    [島根県] Score: 37409284
396. MAKKY!!!  [上上下下ABAB]    [神奈川県] Score: 37357106
397. Makaru.G  [GOD]    [鹿児島県] Score: 37321711
398. nanoa  [ストリーミングマスター]    [宮城県] Score: 37286403
399. OOLONG  [I love 夢眠ネム]    [福島県] Score: 37216892
400. SPICA  [Ｎ・Ｅ・Ｍ・Ｕ・Ｇ・Ｏ・Ｄ]    [アメリカ] Score: 37164630
401. Nitori  [I love "東方輝仁裂"]    [愛知県] Score: 37148670
402. NEIL  [初代☆]    [香港] Score: 37054797
403. PoCkRo.E  [うー！がぉー！]    [東京都] Score: 36996726
404. Virt  [Bright Master]    [長野県] Score: 36990032
405. MR Wei  [神霊「夢想封印 瞬」]    [台湾] Score: 36973762
406. ukyu  [ふわっふわ15歳]    [大阪府] Score: 36933581
407. SAY-YEAH  [Starlight Road Master]    [東京都] Score: 36709489
408. NORA.inc  [上上下下ABAB]    [愛媛県] Score: 36610843
409. VELGR  [そーなのかー]    [青森県] Score: 36517142
