167. Kirisame  [魔砲「ファイナルマスタースパーク」]    [ラウンドワン奈良店@奈良県@近畿] Score: 1631300236 
168. cycla.  [すっごーい！]    [セガワールド北山形@山形県@東北] Score: 1630825629 
169. 8MA  [I love "Pray"]    [ラッキー八千代店@千葉県@関東] Score: 1630815613 
170. Tsukasa  [K.I.N.G]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1630400574 
171. mea*  [うー！がぉー！]    [ソユーゲームフィールド川口店@埼玉県@関東] Score: 1630042411 
172. *BUSY-0  [完全に極めたなっしんぐ]    [AMERICAN POOL@Hong Kong@海外] Score: 1629535192 
173. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1629062358 
174. HAOKA  [北海道勢]    [青森メトロポリス@青森県@東北] Score: 1628916584 
175. MEBIUS  [練習中]    [ラウンドワン宮崎店@宮崎県@九州] Score: 1628855253 
176. Albireo  [JUL, 2017 TOP RANKER]    [セガ幕張@千葉県@関東] Score: 1628549605 
177. YUKKE_GS  [GROOVER]    [スターダスト@岡山県@中国] Score: 1628296448 
178. ZODY  [癒しの歌姫]    [タイトーＦステーション博多店@福岡県@九州] Score: 1628149516 
179. KZ+manju  [全都道府県完全制覇]    [セガビバモール寝屋川@大阪府@近畿] Score: 1627290990 
180. ukyu  [ふわっふわ15歳]    [ラッキー西千葉店@千葉県@関東] Score: 1627261961 
181. S_LAN  [α]    [DIBEIBAO(GUOBIN)@Taiwan@海外] Score: 1626689927 
182. NATUNON  [半人半霊の神]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1625856338 
183. H.SYSTEM  [VIRTUE ISLAND]    [遊パラダイス@山形県@東北] Score: 1625732403 
184. DNOO  [初代DREAMER]    [タイトー　錦糸町楽天地店@東京都@関東] Score: 1625550018 
185. xx_DiC  [会いたい神]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1625216537 
186. PURAMU  [Crazy ∞ Queen]    [プレビ劇場ＩＳＥＳＡＫＩ@群馬県@関東] Score: 1624796424 
187. Y.G.insa  [アークエンジェル]    [セガ徳島スエヒロボウル@徳島県@四国] Score: 1624580623 
188. K-FISHER  [GROOVER]    [タイトーイン綾瀬@東京都@関東] Score: 1623872878 
189. Raiu  [泡はきドラゴン]    [タイトーステーション新宿東口店@東京都@関東] Score: 1623804172 
190. SEIJAAA  [下克上神]    [VIRTUALAND(NEX)@Singapore@海外] Score: 1623698989 
191. yetogen  [God a pain cover?]    [タイトーステーション梅三小路店@大阪府@近畿] Score: 1623637896 
192. PETER1  [天下統一]    [GOLDEN ERA GAME CENTRE@Hong Kong@海外] Score: 1623412181 
193. SEFY  [マトリョシカ先生]    [キャロム坂戸店@埼玉県@関東] Score: 1623286097 
194. remina  [LINK PERFECT]    [セガ代々木@東京都@関東] Score: 1622651638 
195. Takashi#  [Good Night, Bad God.]    [ラウンドワン福岡天神店@福岡県@九州] Score: 1619492952 
196. TAPE  [踊ってみたら七変化！]    [タイトーステーション船橋店@千葉県@関東] Score: 1619140918 
197. 681&683  [リンドブルム]    [タイトーフジグラン北島店@徳島県@四国] Score: 1619037536 
198. ni-yan  [バーカバーカ！]    [ラウンドワン八千代村上店@千葉県@関東] Score: 1618289336 
199. EN453  [小さな小さな神]    [Ｔ／Ｓファボーレ婦中@富山県@北陸] Score: 1618078344 
200. EXT  [仮初の満足]    [Ｈｅｙ@東京都@関東] Score: 1616093767 
********************************************************************************************
201. NANOHA77  [I love "ETERNAL BLAZE"]    [ジャムジャムつくば店@茨城県@関東] Score: 1615964208 
202. YUUTO***  [ろくでなし先生]    [ラウンドワンモレラ岐阜店@岐阜県@東海] Score: 1615864770 
203. BANANA  [初代SSS CLASS]    [ラウンドワン梅田店@大阪府@近畿] Score: 1615373316 
204. HASSY  [Ｓ級ワルキューレ]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1614540252 
205. Darful  [私のことは殿下と呼びたまえ！]    [プレビ劇場ＩＳＥＳＡＫＩ@群馬県@関東] Score: 1612235384 
206. FFF  [GROOVER]    [キャロム青梅店@東京都@関東] Score: 1611577606 
207. MAKURO  [金属バット神]    [タイトーステーション新宿東口店@東京都@関東] Score: 1611488951 
208. PezzA>.<  [真・一万段]    [CHON SHING GAME CENTER@Hong Kong@海外] Score: 1610134124 
209. JUN*  [超存在ツキ]    [ドリームファクトリーいわき店@福島県@東北] Score: 1609575319 
210. PICO  [羅刹神]    [ナムコランド　イーアスつくば店@茨城県@関東] Score: 1609093400 
211. onsenti  [dis-human]    [ハイテクランド　キューデン@東京都@関東] Score: 1608815892 
212. FSTK  [Chaos God]    [ＣＬＵＢＳＥＧＡ自由ヶ丘@東京都@関東] Score: 1607932691 
213. issy  [エンヴィキャットゴッド]    [タイトーステーション所沢店@埼玉県@関東] Score: 1607306214 
214. Mizore  [ヴァンパイア神]    [四日市アミューズメントパーク@三重県@東海] Score: 1606897677 
215. Hinata  [金属バット大王]    [ＣＬＵＢＳＥＧＡ秋葉原新館@東京都@関東] Score: 1606751643 
216. Goat  [仮初の満足]    [セガワールド高城@大分県@九州] Score: 1606742535 
217. NFRyo  [永遠の中二病]    [ＡＳＯ：ＶＩＢＡ！@東京都@関東] Score: 1606113935 
218. GARYU!!!  [グルーヴ六十万段]    [ラウンドワン八王子店@東京都@関東] Score: 1604986894 
219. xx_Clark  [第四回天下一チャレンジャー]    [TOM'S(KAOHSIUNG LIUHE)@Taiwan@海外] Score: 1604816773 
220. Mikurino  [アスノヨゾラ神班]    [ROUND1(MAIN PLACE)@America@海外] Score: 1603982554 
221. Rinne!?  [期待の新人]    [プラボ札幌西町店@北海道@北海道] Score: 1602492014 
222. 387  [「プリスティンビート」]    [TOM'S(TAIPEI JINWANNIAN)@Taiwan@海外] Score: 1602427389 
223. U.runo  [拍音の戦士]    [Ｇ－ｓｔａｇｅ浜町@長崎県@九州] Score: 1602221438 
224. T=YURIKA  [ヴァンパイア姫]    [ｎａｍｃｏイオンＭＫＹＯＴＯ店@京都府@近畿] Score: 1600738724 
225. Sekirei  [アークエンジェル]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1600613290 
226. IZAWA/  [I love Xenoa]    [ユーズランド下田店@青森県@東北] Score: 1600063826 
227. LONGNEGI  [有　罪]    [ウェアハウス南流山店@千葉県@関東] Score: 1599856171 
228. Rokuku  [フィフス・フォース]    [タイトーステーション町田店@東京都@関東] Score: 1598571901 
229. Chuckey  [全都道府県完全制覇]    [ナムコランド広島店@広島県@中国] Score: 1597325949 
230. daisuki  [不可能を無にする者]    [名古屋レジャーランド大高店@愛知県@東海] Score: 1596178568 
231. 27  [すっごーい！]    [アドアーズ大和Ａ館@神奈川県@関東] Score: 1596028326 
232. LOCK  [神・捌段]    [セガ池袋ギーゴ@東京都@関東] Score: 1595698528 
233. SGK4444  [SATURN]    [タイトーステーション秋葉原店@東京都@関東] Score: 1595242595 
234. raiN  [覚醒先生]    [プラサカプコン甲府店@山梨県@関東] Score: 1595109893 
235. TOKOHA  [無彩色神]    [プラサカプコン新居浜店@愛媛県@四国] Score: 1594699417 
236. JACK.O  [普通の魔法使い]    [ＡＧスクエア石岡店@茨城県@関東] Score: 1594533344 
237. BYDO  [BRIER CASTLE]    [プレイランドエフワンＲ@宮城県@東北] Score: 1594445382 
238. MARISA  [死神]    [ｎａｍｃｏイオンモールつくば店@茨城県@関東] Score: 1591301612 
239. KOTATU  [金色の異端児]    [アップル　グランリバー大井川店@静岡県@東海] Score: 1591168947 
240. DAGO  [楽園の最高裁判長]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1591119908 
241. DA_FU  [TGM大王]    [ＡＧスクエア岡谷@長野県@信越] Score: 1590398597 
242. DADDY  [たのしー！]    [セガ秋葉原１号館@東京都@関東] Score: 1590024044 
243. NANAMI!?  [Kick It Out God]    [セガ金山@愛知県@東海] Score: 1589832647 
244. ZoKoSu  [しんどい]    [セガ海田@広島県@中国] Score: 1589281416 
245. mrskon-G  [空想神]    [タイトーステーション大須店@愛知県@東海] Score: 1588890891 
246. MYU-10  [一番星☆☆☆]    [タイトーステーション小田原店@神奈川県@関東] Score: 1588553762 
247. RLya  [メリークルシミマス！]    [ビルボードプレイスＧＣ@新潟県@信越] Score: 1587067866 
248. RGA  [全都道府県完全制覇]    [タイトーイン綾瀬@東京都@関東] Score: 1586302833 
249. Magnolia  [PRINCESS]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1586098309 
250. Eagle.  [中級者]    [タイトーイン綾瀬@東京都@関東] Score: 1585346204 
251. Silver  [閉じた恋の瞳]    [Ｔ／Ｓファボーレ婦中@富山県@北陸] Score: 1585201977 
252. Hydrex  [Ｓ＋級おでん]    [ROUND1(PUENTE HILLS)@America@海外] Score: 1583966508 
253. MOEOU  [八岐大蛇]    [TOM'S WORLD(MING YAO)@Taiwan@海外] Score: 1583955351 
254. 3SASAMI3  [GROOVER]    [タイトーステーション戸塚西口店@神奈川県@関東] Score: 1581859211 
255. yukineko  [大分勢]    [ラウンドワン大分店@大分県@九州] Score: 1581422278 
256. SAIKI  [すぽぉぉぉぉぉん]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1580709704 
257. TAK  [キャッチ・ザ・ハート]    [タイトーステーション大阪日本橋@大阪府@近畿] Score: 1579643268 
258. karinPTV  [I love "Lost Colors"]    [Ｌａ・Ｆｉｅｓｔａ@愛知県@東海] Score: 1578959213 
259. M4R1S4  [御柱神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1577790177 
260. POTETO  [戦車女神]    [アミューズメントベネクス川崎店@神奈川県@関東] Score: 1576852466 
261. AKIO  [I love "Invader GIRL!"]    [ラウンドワン半田店@愛知県@東海] Score: 1576758285 
262. KENTA-09  [Ｓ＋級ラーメン]    [ラッキー八千代店@千葉県@関東] Score: 1576380029 
263. KUJIGEN  [ヘッドフォンマスター]    [モナコ川越店@埼玉県@関東] Score: 1576117962 
264. #KEN*  [NEPTUNE]    [ゲームファンタジアン蒲郡店@愛知県@東海] Score: 1575265271 
265. TOARU  [I love "Circuit DISCO"]    [ラッキー八千代店@千葉県@関東] Score: 1574756126 
266. KaZuKi09  [弱虫神]    [セガ松江@島根県@中国] Score: 1573765789 
267. TAKE  [God's Blood]    [アピナ鶴岡店@山形県@東北] Score: 1573747920 
268. NAOTOMO  [仮初の満足]    [キングジョイ@愛知県@東海] Score: 1571303106 
269. 504939  [Freedom God]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1570131045 
270. KOBA+YU!  [WONDERFUL]    [ラッキー八千代店@千葉県@関東] Score: 1568764634 
