151. TAItyo!!  [隊長さん]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1636273373 
152. xx_LA-LA  [バーカバーカ！]    [YOUNG KEY PARADISE(DATONG)@Taiwan@海外] Score: 1636255067 
153. C-man  [赤ゴーグル☆]    [ｎａｍｃｏ三宮店@兵庫県@近畿] Score: 1636017514 
154. THOMAS91  [わわわわーにん！]    [ARCADE1@Korea@海外] Score: 1635003682 
155. BEGINNER  [GROOVER]    [タイトー横浜西口五番街店@神奈川県@関東] Score: 1634833431 
156. NIS@  [LRLRABAB神]    [ｎａｍｃｏ博多バスターミナル店@福岡県@九州] Score: 1634825861 
157. MONO  [ニャスニャス！]    [ナムコランド広島店@広島県@中国] Score: 1634789460 
158. RAM4  [はじめてのぐるこす]    [ムトス相模原店@神奈川県@関東] Score: 1633272857 
159. SNOW  [ずんどこずんどこずんどこずんどこ]    [ゲームチャオ松阪@三重県@東海] Score: 1633071454 
160. BASS  [プリンシパリティ]    [ｙｏｕ　ｍｅ　ＣＩＲＣＵＳ@島根県@中国] Score: 1632652651 
161. G.urakaM  [真・初段]    [タイトーアミュプラザ鹿児島店@鹿児島県@九州] Score: 1632570691 
162. 44.44  [STAR COASTER GOD]    [タイトーステーション福岡天神店@福岡県@九州] Score: 1632222520 
163. Naka.F  [死ぬがよい。]    [最後の５ドル@福岡県@九州] Score: 1631923099 
164. CITRUS  [ノリノリンカちゃん]    [セガ難波アビオン@大阪府@近畿] Score: 1631605143 
165. MINE.  [バーチャル・シンガー]    [ゲームファンタジア平塚@神奈川県@関東] Score: 1631315468 
166. Kirisame  [魔砲「ファイナルマスタースパーク」]    [名古屋レジャーランドささしま店@愛知県@東海] Score: 1631298873 
167. 8MA  [I love "Pray"]    [ラッキー八千代店@千葉県@関東] Score: 1630815613 
168. cycla.  [うー！がぉー！]    [セガワールド北山形@山形県@東北] Score: 1629832268 
169. mea*  [うー！がぉー！]    [ソユーゲームフィールド川口店@埼玉県@関東] Score: 1629751169 
170. July_u26  [Nightmare]    [ＣＬＵＢＳＥＧＡ春日井@愛知県@東海] Score: 1629062358 
171. HAOKA  [北海道勢]    [青森メトロポリス@青森県@東北] Score: 1628916584 
172. MEBIUS  [練習中]    [ラウンドワン宮崎店@宮崎県@九州] Score: 1628855253 
173. Albireo  [JUL, 2017 TOP RANKER]    [セガ幕張@千葉県@関東] Score: 1628549605 
174. YUKKE_GS  [GROOVER]    [スターダスト@岡山県@中国] Score: 1628233302 
175. ZODY  [癒しの歌姫]    [タイトーＦステーション博多店@福岡県@九州] Score: 1628149516 
176. Tsukasa  [K.I.N.G]    [ＡＭパークジアス上大岡@神奈川県@関東] Score: 1627423667 
177. KZ+manju  [全都道府県完全制覇]    [セガビバモール寝屋川@大阪府@近畿] Score: 1627290990 
178. ukyu  [ふわっふわ15歳]    [ラッキー西千葉店@千葉県@関東] Score: 1627168168 
179. ZONE  [シンガポール勢]    [スターダスト@岡山県@中国] Score: 1627118142 
